dataset,sample,id,version,label,tier,classification,final_verdict,final_is_malicious,final_is_flagged,decided_by,score,static_verdict,static_score,dynamic_verdict,dynamic_score,total_events,http_requests,child_process_calls,outbound_messages,eval_calls,fs_reads,net_socket_calls,data_stolen,stolen_categories,hosts,purpose,timers_fired,virtual_days,timed_out,error,top_reasons,target,duration_ms
datadog-benign,abusaidm.html-snippets,abusaidm.html-snippets,0.2.1,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\abusaidm.html-snippets\0.2.1.vsix,10687
datadog-benign,batisteo.vscode-django,batisteo.vscode-django,1.15.0,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\batisteo.vscode-django\1.15.0.vsix,6398
datadog-benign,christian-kohler.npm-intellisense,christian-kohler.npm-intellisense,1.4.5,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,11,0,0,0,0,11,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\christian-kohler.npm-intellisense\1.4.5.vsix,9415
datadog-benign,Anthropic.claude-code,anthropic.claude-code,2.1.231,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,1,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\anthropic.claude-code\2.1.231.vsix,51305
datadog-benign,Angular.ng-template,Angular.ng-template,22.1.0,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\Angular.ng-template\22.1.0.vsix,53011
datadog-benign,aaron-bond.better-comments,aaron-bond.better-comments,3.0.2,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\aaron-bond.better-comments\3.0.2.vsix,53372
datadog-benign,christian-kohler.path-intellisense,christian-kohler.path-intellisense,2.10.0,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\christian-kohler.path-intellisense\2.10.0.vsix,42696
datadog-benign,bmewburn.vscode-intelephense-client,bmewburn.vscode-intelephense-client,1.18.5,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\bmewburn.vscode-intelephense-client\1.18.5.vsix,49161
datadog-benign,bradlc.vscode-tailwindcss,bradlc.vscode-tailwindcss,0.16.0,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\bradlc.vscode-tailwindcss\0.16.0.vsix,47709
datadog-benign,cschlosser.doxdocgen,cschlosser.doxdocgen,1.4.0,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\cschlosser.doxdocgen\1.4.0.vsix,44613
datadog-benign,Dart-Code.flutter,Dart-Code.flutter,3.141.20260803,0,benign,DataDog benign,BENIGN,0,0,both,20,BENIGN,20,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+20 advertises substantial functionality but ships only a trivial stub (possible first-stage placeholder),C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\Dart-Code.flutter\3.141.20260803.vsix,4567
