dataset,sample,id,version,label,tier,classification,final_verdict,final_is_malicious,final_is_flagged,decided_by,score,static_verdict,static_score,dynamic_verdict,dynamic_score,total_events,http_requests,child_process_calls,outbound_messages,eval_calls,fs_reads,net_socket_calls,data_stolen,stolen_categories,hosts,purpose,timers_fired,virtual_days,timed_out,error,top_reasons,target,duration_ms
datadog-malicious,498-00.httpformat,498-00.httpformat,1.1.2,1,code,DataDog malicious,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\498-00.httpformat\1.1.2.vsix,45603
datadog-malicious,ab-498.cppplayground,ab-498.cppplayground,1.0.42,1,code,DataDog malicious,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+30 ephemeral/free cloud backend endpoint (C2 staging) ; static:+12 AST: child_process invoked with a non-static/tainted command argument ; static:+12 AST: dynamic eval()/new Function() on a constructed (non-static) value,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\ab-498.cppplayground\1.0.42.vsix,6932
datadog-malicious,ab-498.pythonformat,ab-498.pythonformat,1.0.50,1,code,DataDog malicious,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\ab-498.pythonformat\1.0.50.vsix,9596
datadog-malicious,ab-498.cppformat,ab-498.cppformat,1.0.8,1,code,DataDog malicious,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,1,0,0,0,0,1,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\ab-498.cppformat\1.0.8.vsix,10912
datadog-malicious,ahbanC.shiba,ahbanC.shiba,0.1.4,1,code,DataDog malicious,MALICIOUS,1,1,both,125,MALICIOUS,97,MALICIOUS,125,13,0,13,0,0,0,0,0,,,Loader / Downloader (stager),0,0,0,,static:+45 downloads an executable/script binary from a non-distribution host ; static:+40 hard-coded raw public IP endpoint ; static:+12 AST: child_process invoked with a non-static/tainted command argument ; dynamic:+55 download-and-execute cradle (LOLBIN fetches & runs a remote payload),C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\ahbanC.shiba\0.1.4.vsix,10616
datadog-malicious,ab-498.httpformat,ab-498.httpformat,1.1.0,1,code,DataDog malicious,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\ab-498.httpformat\1.1.0.vsix,11637
datadog-malicious,0xS1rx58D3V.ChatGPT-B0T,0xS1rx58D3V.ChatGPT-B0T,0.0.1,1,code,DataDog malicious,MALICIOUS,1,1,both,90,MALICIOUS,75,MALICIOUS,90,4,0,1,0,0,0,1,0,,,Backdoor / Reverse shell,2,0,0,,static:+50 tunnelled C2 endpoint (ngrok / cloudflare / tcp tunnel) ; static:+25 javascript-obfuscator string-array decoder present (deliberate code hiding) ; dynamic:+60 reverse shell: raw TCP socket bound to a shell process ; dynamic:+30 collects host/user reconnaissance and transmits it,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\0xS1rx58D3V.ChatGPT-B0T\0.0.1.vsix,54303
datadog-malicious,mal-vscode-poc,apollyon,0.0.1,1,code,DataDog malicious,MALICIOUS,1,1,static,45,MALICIOUS,45,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+45 chat-app webhook used for exfiltration (Discord / Slack),C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\vsix-zoo\apollyon,4330
datadog-malicious,BlockchainIndustries.bitcoin-toolkit,BlockchainIndustries.bitcoin-toolkit,0.0.1,1,code,DataDog malicious,BENIGN,0,0,both,20,BENIGN,20,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+20 advertises substantial functionality but ships only a trivial stub (possible first-stage placeholder),C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\BlockchainIndustries.bitcoin-toolkit\0.0.1.vsix,2700
datadog-malicious,AhmedSlem.secure-codee,AhmedSlem.secure-codee,0.0.2,1,code,DataDog malicious,MALICIOUS,1,1,static,50,MALICIOUS,50,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),1,0,0,,static:+50 tunnelled C2 endpoint (ngrok / cloudflare / tcp tunnel),C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\AhmedSlem.secure-codee\0.0.2.vsix,11332
datadog-malicious,BenjaminFriedl.lexica-img-fix,BenjaminFriedl.lexica-img-fix,0.0.1,1,code,DataDog malicious,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\BenjaminFriedl.lexica-img-fix\0.0.1.vsix,23579
datadog-malicious,AutoMind.automindX,AutoMind.automindX,1.0.1,1,code,DataDog malicious,SUSPICIOUS,0,1,static,25,SUSPICIOUS,25,BENIGN,0,0,0,0,0,0,0,0,0,,,,0,0,0,,static:+25 programmatically installs a VSIX (marketplace bypass),C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\AutoMind.automindX\1.0.1.vsix,26167
datadog-malicious,BlockchainIndustries.hardhat-toolkit,BlockchainIndustries.hardhat-toolkit,0.0.1,1,code,DataDog malicious,BENIGN,0,0,both,20,BENIGN,20,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+20 advertises substantial functionality but ships only a trivial stub (possible first-stage placeholder),C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\BlockchainIndustries.hardhat-toolkit\0.0.1.vsix,25594
datadog-malicious,BlockchainIndustries.solana-toolkit,BlockchainIndustries.solana-toolkit,0.0.1,1,code,DataDog malicious,BENIGN,0,0,both,20,BENIGN,20,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+20 advertises substantial functionality but ships only a trivial stub (possible first-stage placeholder),C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\BlockchainIndustries.solana-toolkit\0.0.1.vsix,23840
datadog-malicious,Bobronium.darcula-from-pycharm,Bobronium.darcula-from-pycharm,0.9.0,1,code,DataDog malicious,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\Bobronium.darcula-from-pycharm\0.9.0.vsix,23810
