dataset,sample,id,version,label,tier,classification,final_verdict,final_is_malicious,final_is_flagged,decided_by,score,static_verdict,static_score,dynamic_verdict,dynamic_score,total_events,http_requests,child_process_calls,outbound_messages,eval_calls,fs_reads,net_socket_calls,data_stolen,stolen_categories,hosts,purpose,timers_fired,virtual_days,timed_out,error,top_reasons,target
datadog-benign,aaron-bond.better-comments,aaron-bond.better-comments,3.0.2,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\aaron-bond.better-comments\3.0.2.vsix
datadog-benign,alefragnani.project-manager,alefragnani.project-manager,13.1.0,0,benign,DataDog benign,BENIGN,0,0,both,18,BENIGN,12,BENIGN,18,2,0,0,0,1,0,0,0,,,Obfuscated payload (staged execution),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument ; dynamic:+18 evaluates dynamically-built code (eval / new Function),C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\alefragnani.project-manager\13.1.0.vsix
datadog-benign,christian-kohler.path-intellisense,christian-kohler.path-intellisense,2.10.0,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\christian-kohler.path-intellisense\2.10.0.vsix
datadog-benign,alefragnani.Bookmarks,alefragnani.Bookmarks,14.1.1,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\alefragnani.Bookmarks\14.1.1.vsix
datadog-benign,christian-kohler.npm-intellisense,christian-kohler.npm-intellisense,1.4.5,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,11,0,0,0,0,11,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\christian-kohler.npm-intellisense\1.4.5.vsix
datadog-benign,Codeium.codeium,Codeium.codeium,1.49.2,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\Codeium.codeium\1.49.2.vsix
datadog-benign,DavidAnson.vscode-markdownlint,DavidAnson.vscode-markdownlint,0.61.2,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\DavidAnson.vscode-markdownlint\0.61.2.vsix
datadog-benign,dracula-theme.theme-dracula,dracula-theme.theme-dracula,2.25.1,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\dracula-theme.theme-dracula\2.25.1.vsix
datadog-benign,dbaeumer.vscode-eslint,dbaeumer.vscode-eslint,3.0.29,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\dbaeumer.vscode-eslint\3.0.29.vsix
datadog-benign,donjayamanne.githistory,donjayamanne.githistory,0.6.20,0,benign,DataDog benign,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+25 harvests a stable host fingerprint (machineId / MAC address) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\donjayamanne.githistory\0.6.20.vsix
datadog-benign,formulahendry.auto-close-tag,formulahendry.auto-close-tag,0.5.15,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\formulahendry.auto-close-tag\0.5.15.vsix
datadog-benign,EditorConfig.EditorConfig,EditorConfig.EditorConfig,0.18.2,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,1,0,0,0,0,1,0,0,,,No malicious behaviour observed (dynamic),11,0,0,,,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\EditorConfig.EditorConfig\0.18.2.vsix
datadog-benign,formulahendry.auto-rename-tag,formulahendry.auto-rename-tag,0.1.10,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,4,0,0,0,0,2,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\formulahendry.auto-rename-tag\0.1.10.vsix
datadog-benign,Continue.continue,Continue.continue,2.1.0,0,benign,DataDog benign,BENIGN,0,0,both,18,BENIGN,12,BENIGN,18,4,0,0,0,1,2,0,0,,,Obfuscated payload (staged execution),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument ; dynamic:+18 evaluates dynamically-built code (eval / new Function),C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\Continue.continue\2.1.0.vsix
datadog-benign,formulahendry.code-runner,formulahendry.code-runner,0.12.2,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,1,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\formulahendry.code-runner\0.12.2.vsix
datadog-benign,GitHub.github-vscode-theme,GitHub.github-vscode-theme,6.3.5,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\GitHub.github-vscode-theme\6.3.5.vsix
