dataset,sample,id,version,label,tier,classification,final_verdict,final_is_malicious,final_is_flagged,decided_by,score,static_verdict,static_score,dynamic_verdict,dynamic_score,total_events,http_requests,child_process_calls,outbound_messages,eval_calls,fs_reads,net_socket_calls,data_stolen,stolen_categories,hosts,purpose,timers_fired,virtual_days,timed_out,error,top_reasons,target
datadog-malicious,498-00.httpformat,498-00.httpformat,1.1.2,1,code,DataDog malicious,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\498-00.httpformat\1.1.2.vsix
datadog-malicious,ab-498.httpformat,ab-498.httpformat,1.1.0,1,code,DataDog malicious,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\ab-498.httpformat\1.1.0.vsix
datadog-malicious,0xS1rx58D3V.ChatGPT-B0T,0xS1rx58D3V.ChatGPT-B0T,0.0.1,1,code,DataDog malicious,MALICIOUS,1,1,both,90,MALICIOUS,75,MALICIOUS,90,4,0,1,0,0,0,1,0,,,Backdoor / Reverse shell,2,0,0,,static:+50 tunnelled C2 endpoint (ngrok / cloudflare / tcp tunnel) ; static:+25 javascript-obfuscator string-array decoder present (deliberate code hiding) ; dynamic:+60 reverse shell: raw TCP socket bound to a shell process ; dynamic:+30 collects host/user reconnaissance and transmits it,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\0xS1rx58D3V.ChatGPT-B0T\0.0.1.vsix
datadog-malicious,ahbanC.shiba,ahbanC.shiba,0.1.4,1,code,DataDog malicious,MALICIOUS,1,1,both,125,MALICIOUS,97,MALICIOUS,125,13,0,13,0,0,0,0,0,,,Loader / Downloader (stager),0,0,0,,static:+45 downloads an executable/script binary from a non-distribution host ; static:+40 hard-coded raw public IP endpoint ; static:+12 AST: child_process invoked with a non-static/tainted command argument ; dynamic:+55 download-and-execute cradle (LOLBIN fetches & runs a remote payload),C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\ahbanC.shiba\0.1.4.vsix
datadog-malicious,ab-498.cppformat,ab-498.cppformat,1.0.8,1,code,DataDog malicious,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,1,0,0,0,0,1,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\ab-498.cppformat\1.0.8.vsix
datadog-malicious,ab-498.pythonformat,ab-498.pythonformat,1.0.50,1,code,DataDog malicious,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,2,0,0,0,0,1,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\ab-498.pythonformat\1.0.50.vsix
datadog-malicious,ab-498.cppplayground,ab-498.cppplayground,1.0.42,1,code,DataDog malicious,MALICIOUS,1,1,corroboration,35,SUSPICIOUS,35,SUSPICIOUS,30,8,2,0,2,0,4,0,0,,ab498.pythonanywhere.com,C2 beacon / Command-and-control client,40000,0.05,0,,corroboration:+0 static and dynamic independently confirm the same indicator (ephemeral_cloud) ; static:+30 ephemeral/free cloud backend endpoint (C2 staging) ; static:+12 AST: child_process invoked with a non-static/tainted command argument ; static:+12 AST: dynamic eval()/new Function() on a constructed (non-static) value,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\ab-498.cppplayground\1.0.42.vsix
datadog-malicious,BlockchainIndustries.bitcoin-toolkit,BlockchainIndustries.bitcoin-toolkit,0.0.1,1,code,DataDog malicious,BENIGN,0,0,both,20,BENIGN,20,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+20 advertises substantial functionality but ships only a trivial stub (possible first-stage placeholder),C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\BlockchainIndustries.bitcoin-toolkit\0.0.1.vsix
datadog-malicious,BenjaminFriedl.lexica-img-fix,BenjaminFriedl.lexica-img-fix,0.0.1,1,code,DataDog malicious,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\BenjaminFriedl.lexica-img-fix\0.0.1.vsix
datadog-malicious,AhmedSlem.secure-codee,AhmedSlem.secure-codee,0.0.2,1,code,DataDog malicious,MALICIOUS,1,1,both,75,MALICIOUS,50,MALICIOUS,75,62,31,0,31,0,0,0,0,,ca458c98fbe7.ngrok-free.app,Infostealer / Reconnaissance,1,0,0,,static:+50 tunnelled C2 endpoint (ngrok / cloudflare / tcp tunnel) ; dynamic:+50 tunnelled C2 endpoint (ngrok / cloudflare / tcp tunnel) ; dynamic:+25 transmits a data payload to the suspicious/tunnelled endpoint (exfiltration),C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\AhmedSlem.secure-codee\0.0.2.vsix
datadog-malicious,BlockchainIndustries.solana-toolkit,BlockchainIndustries.solana-toolkit,0.0.1,1,code,DataDog malicious,BENIGN,0,0,both,20,BENIGN,20,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+20 advertises substantial functionality but ships only a trivial stub (possible first-stage placeholder),C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\BlockchainIndustries.solana-toolkit\0.0.1.vsix
datadog-malicious,AutoMind.automindX,AutoMind.automindX,1.0.1,1,code,DataDog malicious,SUSPICIOUS,0,1,static,25,SUSPICIOUS,25,BENIGN,0,0,0,0,0,0,0,0,0,,,,0,0,0,,static:+25 programmatically installs a VSIX (marketplace bypass),C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\AutoMind.automindX\1.0.1.vsix
datadog-malicious,BlockchainIndustries.hardhat-toolkit,BlockchainIndustries.hardhat-toolkit,0.0.1,1,code,DataDog malicious,BENIGN,0,0,both,20,BENIGN,20,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+20 advertises substantial functionality but ships only a trivial stub (possible first-stage placeholder),C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\BlockchainIndustries.hardhat-toolkit\0.0.1.vsix
datadog-malicious,AhmedSleem.secure-code,ahmedsleem.secure-code,1.0.31,1,code,DataDog malicious,MALICIOUS,1,1,both,75,MALICIOUS,50,MALICIOUS,75,32,16,0,16,0,0,0,0,,381d455fff64.ngrok-free.app,Infostealer / Reconnaissance,1,0,0,,static:+50 tunnelled C2 endpoint (ngrok / cloudflare / tcp tunnel) ; dynamic:+50 tunnelled C2 endpoint (ngrok / cloudflare / tcp tunnel) ; dynamic:+25 transmits a data payload to the suspicious/tunnelled endpoint (exfiltration),C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\Sample\Sample\ahmedsleem.secure-code-1.0.31.vsix
datadog-malicious,Bobronium.darcula-from-pycharm,Bobronium.darcula-from-pycharm,0.9.0,1,code,DataDog malicious,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\Bobronium.darcula-from-pycharm\0.9.0.vsix
datadog-malicious,CSF-RED.CSF-RED,CSF-RED.CSF-RED,0.0.1,1,code,DataDog malicious,MALICIOUS,1,1,both,115,MALICIOUS,67,MALICIOUS,115,30,0,15,0,0,0,15,0,,,Backdoor / Reverse shell,0,0,0,,static:+55 reverse shell pattern (outbound TCP socket spawning a shell interpreter in the same file) ; static:+12 AST: child_process invoked with a non-static/tainted command argument ; dynamic:+55 download-and-execute cradle (LOLBIN fetches & runs a remote payload) ; dynamic:+60 reverse shell: raw TCP socket bound to a shell process,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\CSF-RED.CSF-RED\0.0.1.vsix
datadog-malicious,CodamaSoftware.ai-docs-and-comments,CodamaSoftware.ai-docs-and-comments,0.0.8,1,code,DataDog malicious,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\CodamaSoftware.ai-docs-and-comments\0.0.8.vsix
datadog-malicious,codevsce.codelddb-vscode,codevsce.codelddb-vscode,1.11.9,1,code,DataDog malicious,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\codevsce.codelddb-vscode\1.11.9.vsix
datadog-malicious,EchelonStudios.blockchain-language-support,EchelonStudios.blockchain-language-support,1.0.1,1,code,DataDog malicious,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\EchelonStudios.blockchain-language-support\1.0.1.vsix
datadog-malicious,bphpburnsus.Iconesvscode,bphpburnsus.iconesvscode,12.15.0,1,code,DataDog malicious,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\bphpburnsus.iconesvscode\12.15.0.vsix
