dataset,sample,id,version,label,tier,classification,final_verdict,final_is_malicious,final_is_flagged,decided_by,score,static_verdict,static_score,dynamic_verdict,dynamic_score,total_events,http_requests,child_process_calls,outbound_messages,eval_calls,fs_reads,net_socket_calls,data_stolen,stolen_categories,hosts,purpose,timers_fired,virtual_days,timed_out,error,top_reasons,target
vsmex,0x141c6.auto-open-previews,0x141c6.auto-open-previews,0.0.1,1,suspect,Untrustworthy,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\vsmex-dataset\vsmex-dataset\extensions\0x141c6.auto-open-previews\0.0.1\0x141c6.auto-open-previews-0.0.1.vsix
vsmex,06a678fb-6fc1-623d-88d6-77ab9a4932cc.open-vs-embedded-browser,06a678fb-6fc1-623d-88d6-77ab9a4932cc.open-vs-embedded-browser,3.1.0,1,policy,Impersonation,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+30 ephemeral/free cloud backend endpoint (C2 staging) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\vsmex-dataset\vsmex-dataset\extensions\06a678fb-6fc1-623d-88d6-77ab9a4932cc.open-vs-embedded-browser\3.1.0\06a678fb-6fc1-623d-88d6-77ab9a4932cc.open-vs-embedded-browser-3.1.0.vsix
vsmex,0x7a69.whhid,0x7a69.whhid,0.1.1,1,suspect,Untrustworthy,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\vsmex-dataset\vsmex-dataset\extensions\0x7a69.whhid\0.1.1\0x7a69.whhid-0.1.1.vsix
vsmex,0x7a69.whhid,0x7a69.whhid,0.1.5,1,suspect,Untrustworthy,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\vsmex-dataset\vsmex-dataset\extensions\0x7a69.whhid\0.1.5\0x7a69.whhid-0.1.5.vsix
vsmex,0miles.vscode-git-graph-alter,0miles.vscode-git-graph-alter,0.1.0,1,policy,Impersonation,MALICIOUS,1,1,static,67,MALICIOUS,67,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+55 AST: reverse shell — a socket data handler executes received input as a process ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\vsmex-dataset\vsmex-dataset\extensions\0miles.vscode-git-graph-alter\0.1.0\0miles.vscode-git-graph-alter-0.1.0.vsix
vsmex,0miles.vscode-git-graph-alter,0miles.vscode-git-graph-alter,0.2.0,1,policy,Impersonation,MALICIOUS,1,1,static,67,MALICIOUS,67,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+55 AST: reverse shell — a socket data handler executes received input as a process ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\vsmex-dataset\vsmex-dataset\extensions\0miles.vscode-git-graph-alter\0.2.0\0miles.vscode-git-graph-alter-0.2.0.vsix
vsmex,11011.blenderPluginDevTool11011,11011.blenderPluginDevTool11011,0.0.6,1,policy,Impersonation,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\vsmex-dataset\vsmex-dataset\extensions\11011.blenderPluginDevTool11011\0.0.6\11011.blenderPluginDevTool11011-0.0.6.vsix
vsmex,0x7a69.whhid,0x7a69.whhid,0.1.6,1,suspect,Untrustworthy,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\vsmex-dataset\vsmex-dataset\extensions\0x7a69.whhid\0.1.6\0x7a69.whhid-0.1.6.vsix
vsmex,11011.markdown-shortcuts-like-obsidian-merge,11011.markdown-shortcuts-like-obsidian-merge,0.1.0,1,policy,Impersonation,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\vsmex-dataset\vsmex-dataset\extensions\11011.markdown-shortcuts-like-obsidian-merge\0.1.0\11011.markdown-shortcuts-like-obsidian-merge-0.1.0.vsix
vsmex,11011.ubuntutheme11011,11011.ubuntutheme11011,0.0.1,1,policy,Impersonation,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\vsmex-dataset\vsmex-dataset\extensions\11011.ubuntutheme11011\0.0.1\11011.ubuntutheme11011-0.0.1.vsix
